lakeID,siteName,dateSample,dateTimeSample,depthClass,depthTop,depthBottom,subsampleClass,CH4_uM,CO2_uM,year,doy
EL,DeepHole,8/12/15,8/12/15 10:25,point,8,8,DIC,53.49324869,575.2610056,2015,224
WL,DeepHole,8/12/15,8/12/15 8:20,point,8,8,DIC,55.23638611,585.53244,2015,224
WL,DeepHole,8/12/15,8/12/15 8:20,point,8,8,DIC,56.93674473,602.3868652,2015,224
MO,DeepHole,8/13/15,8/13/15 7:55,point,5,5,DIC,160.1722051,1368.325296,2015,225
MO,DeepHole,8/13/15,8/13/15 7:55,point,5,5,DIC,204.5199667,1695.728649,2015,225
MO,DeepHole,8/14/14,8/14/14 9:15,point,5,5,DIC,293.2775508,1952.065758,2014,226
MO,DeepHole,8/14/14,8/14/14 9:15,point,5,5,DIC,296.6070926,1950.300272,2014,226
EL,DeepHole,8/19/15,8/19/15 10:30,point,8,8,DIC,59.06537595,597.7210842,2015,231
EL,DeepHole,8/19/15,8/19/15 10:30,point,8,8,DIC,54.60682273,575.1864522,2015,231
WL,DeepHole,8/19/15,8/19/15 9:30,point,8,8,DIC,72.8751939,602.8219271,2015,231
WL,DeepHole,8/19/15,8/19/15 9:30,point,8,8,DIC,73.52646791,618.3332484,2015,231
EL,DeepHole,8/20/14,8/20/14 10:30,point,8,8,DIC,55.87204353,722.9179698,2014,232
EL,DeepHole,8/20/14,8/20/14 10:30,point,8,8,DIC,59.39919069,749.9731212,2014,232
WL,DeepHole,8/20/14,8/20/14 9:00,point,8,8,DIC,72.96246002,733.2497423,2014,232
WL,DeepHole,8/20/14,8/20/14 9:00,point,8,8,DIC,71.88230222,716.7130122,2014,232
MO,DeepHole,8/23/14,8/23/14 11:45,point,5,5,DIC,339.414216,2278.431748,2014,235
MO,DeepHole,8/23/14,8/23/14 11:45,point,5,5,DIC,345.0924614,2287.23489,2014,235
CR,DeepHole,8/24/14,8/24/14 13:00,point,10,10,DIC,6.970596484,540.365796,2014,236
CR,DeepHole,8/24/14,8/24/14 13:00,point,10,10,DIC,4.49483125,461.8232273,2014,236
HB,DeepHole,8/24/14,8/24/14 11:00,point,5,5,DIC,115.2058544,603.7670185,2014,236
HB,DeepHole,8/24/14,8/24/14 11:00,point,5,5,DIC,206.2721941,1021.410238,2014,236
EL,DeepHole,8/26/15,8/26/15 10:00,point,8,8,DIC,66.08113854,530.5124035,2015,238
EL,DeepHole,8/26/15,8/26/15 10:00,point,8,8,DIC,54.26702096,458.4010933,2015,238
WL,DeepHole,8/26/15,8/26/15 8:35,point,8,8,DIC,47.06050969,472.3225907,2015,238
WL,DeepHole,8/26/15,8/26/15 8:35,point,8,8,DIC,45.02275969,466.5711895,2015,238
EL,DeepHole,9/3/15,9/3/15 9:50,point,8,8,DIC,62.35393806,567.3136378,2015,246
EL,DeepHole,9/3/15,9/3/15 9:50,point,8,8,DIC,64.2140794,559.6049974,2015,246
WL,DeepHole,9/3/15,9/3/15 8:40,point,8,8,DIC,71.64714976,524.3844061,2015,246
WL,DeepHole,9/3/15,9/3/15 8:40,point,8,8,DIC,61.11025176,463.9355371,2015,246
EL,DeepHole,9/9/15,9/9/15 10:50,point,8,8,DIC,59.41733031,518.801549,2015,252
EL,DeepHole,9/9/15,9/9/15 10:50,point,8,8,DIC,67.35108366,560.2101139,2015,252
WL,DeepHole,9/9/15,9/9/15 9:25,point,8,8,DIC,85.08517207,649.6250826,2015,252
WL,DeepHole,9/9/15,9/9/15 9:25,point,8,8,DIC,90.41219327,664.6605422,2015,252
CR,DeepHole,5/26/16,5/26/16 8:40,point,10,10,DIC,0.012178653,1.353241105,2016,147
CR,DeepHole,5/26/16,5/26/16 8:40,point,10,10,DIC,0.01239157,209.0615553,2016,147
CR,DeepHole,6/21/16,6/21/16 9:00,point,8,8,DIC,0.015217916,80.63302824,2016,173
CR,DeepHole,6/21/16,6/21/16 9:00,point,8,8,DIC,0.013146929,82.96099066,2016,173
CR,DeepHole,7/18/16,7/18/16 10:00,point,8,8,DIC,0.335663685,1355.151624,2016,200
CR,DeepHole,7/18/16,7/18/16 10:00,point,8,8,DIC,0.243771849,940.894548,2016,200
CR,DeepHole,8/1/16,8/1/16 9:00,point,9,9,DIC,0.218485102,404.765427,2016,214
CR,DeepHole,8/1/16,8/1/16 9:00,point,9,9,DIC,0.233262465,392.5255025,2016,214
CR,DeepHole,9/14/16,9/14/16 9:00,point,8,8,DIC,0.214536923,402.0624993,2016,258
CR,DeepHole,9/14/16,9/14/16 9:00,point,8,8,DIC,0.073119589,21.5511838,2016,258
EL,DeepHole,5/24/16,5/24/16 10:45,point,8,8,DIC,21.69970327,706.8263041,2016,145
EL,DeepHole,5/24/16,5/24/16 10:45,point,8,8,DIC,20.09375547,1.006086244,2016,145
EL,DeepHole,5/31/16,5/31/16 10:00,point,8,8,DIC,0.352726678,288.5816156,2016,152
EL,DeepHole,5/31/16,5/31/16 10:00,point,8,8,DIC,0.263342764,122.0570655,2016,152
EL,DeepHole,6/7/16,6/7/16 10:05,point,8,8,DIC,13.45049186,566.0016196,2016,159
EL,DeepHole,6/7/16,6/7/16 10:05,point,8,8,DIC,11.55520272,563.4377315,2016,159
EL,DeepHole,6/14/16,6/14/16 9:45,point,8,8,DIC,0.025867697,17.85479612,2016,166
EL,DeepHole,6/14/16,6/14/16 9:45,point,8,8,DIC,9.461818151,501.5309048,2016,166
EL,DeepHole,6/28/16,6/28/16 9:45,point,8,8,DIC,56.69953856,821.8147318,2016,180
EL,DeepHole,6/28/16,6/28/16 9:45,point,8,8,DIC,55.34783784,792.9442127,2016,180
EL,DeepHole,7/12/16,7/12/16 10:15,point,8,8,DIC,38.96608231,665.2764712,2016,194
EL,DeepHole,7/12/16,7/12/16 10:15,point,8,8,DIC,44.95142507,738.4369904,2016,194
EL,DeepHole,7/19/16,7/19/16 0:00,point,8,8,DIC,29.69033502,367.3827459,2016,201
EL,DeepHole,7/19/16,7/19/16 0:00,point,8,8,DIC,34.99321093,426.6849119,2016,201
EL,DeepHole,7/26/16,7/26/16 10:15,point,8,8,DIC,15.3387729,325.8698427,2016,208
EL,DeepHole,7/26/16,7/26/16 10:15,point,8,8,DIC,25.76964886,427.894651,2016,208
EL,DeepHole,8/2/16,8/2/16 10:05,point,8,8,DIC,37.36350916,511.6726206,2016,215
EL,DeepHole,8/2/16,8/2/16 10:05,point,8,8,DIC,38.84038003,531.8131026,2016,215
EL,DeepHole,8/9/16,8/9/16 10:10,point,8,8,DIC,72.22396044,720.2088638,2016,222
EL,DeepHole,8/9/16,8/9/16 10:10,point,8,8,DIC,70.02324045,702.2836917,2016,222
EL,DeepHole,8/16/16,8/16/16 11:15,point,8,8,DIC,47.20998403,1131.81598,2016,229
EL,DeepHole,8/16/16,8/16/16 11:15,point,8,8,DIC,46.25875812,1113.813519,2016,229
EL,DeepHole,9/13/16,9/13/16 10:10,point,8,8,DIC,38.02610245,475.6342188,2016,257
EL,DeepHole,9/13/16,9/13/16 10:10,point,8,8,DIC,32.60255208,416.4739546,2016,257
HB,DeepHole,5/27/16,5/27/16 8:30,point,4.5,4.5,DIC,29.7160991,398.752794,2016,148
HB,DeepHole,5/27/16,5/27/16 8:30,point,4.5,4.5,DIC,23.12748401,340.9683872,2016,148
HB,DeepHole,6/10/16,6/10/16 9:30,point,5,5,DIC,101.5788091,612.5372768,2016,162
HB,DeepHole,6/10/16,6/10/16 9:30,point,5,5,DIC,55.12230953,383.5109708,2016,162
HB,DeepHole,7/29/16,7/29/16 8:45,point,5,5,DIC,140.5513233,766.7422476,2016,211
HB,DeepHole,7/29/16,7/29/16 8:45,point,5,5,DIC,149.9922776,793.3457749,2016,211
HB,DeepHole,9/14/16,9/14/16 11:05,point,5,5,DIC,105.8886318,610.4483067,2016,258
HB,DeepHole,9/14/16,9/14/16 11:05,point,5,5,DIC,106.6763568,617.0872172,2016,258
MO,DeepHole,5/23/16,5/23/16 9:20,point,5,5,DIC,162.5255126,2322.218115,2016,144
MO,DeepHole,5/23/16,5/23/16 9:20,point,5,5,DIC,147.6819559,2118.031193,2016,144
MO,DeepHole,6/6/16,6/6/16 9:15,point,4,4,DIC,83.93752236,735.8013573,2016,158
MO,DeepHole,6/6/16,6/6/16 9:15,point,4,4,DIC,78.91758855,1597.165648,2016,158
MO,DeepHole,6/23/16,6/23/16 8:50,point,4,4,DIC,281.3965235,2204.471399,2016,175
MO,DeepHole,6/23/16,6/23/16 8:50,point,4,4,DIC,260.6072469,2091.659158,2016,175
MO,DeepHole,7/20/16,7/20/16 9:15,point,4,4,DIC,174.1783501,3126.530027,2016,202
MO,DeepHole,9/14/16,9/14/16 13:05,point,3.5,3.5,DIC,364.4137486,2032.799956,2016,258
WL,DeepHole,5/24/16,5/24/16 9:20,point,8,8,DIC,5.079817226,535.1767031,2016,145
WL,DeepHole,5/24/16,5/24/16 9:20,point,8,8,DIC,3.61629958,487.0162747,2016,145
WL,DeepHole,5/31/16,5/31/16 9:00,point,8,8,DIC,3.921110538,374.5013365,2016,152
WL,DeepHole,5/31/16,5/31/16 9:00,point,8,8,DIC,2.556658593,308.2438663,2016,152
WL,DeepHole,6/7/16,6/7/16 8:30,point,8,8,DIC,0.315186051,537.2353382,2016,159
WL,DeepHole,6/7/16,6/7/16 8:30,point,8,8,DIC,0.381732305,572.4452279,2016,159
WL,DeepHole,6/14/16,6/14/16 8:30,point,8,8,DIC,5.976844405,523.2559721,2016,166
WL,DeepHole,6/14/16,6/14/16 8:30,point,8,8,DIC,16.98200363,605.0602812,2016,166
WL,DeepHole,6/20/16,6/20/16 8:40,point,8,8,DIC,17.2182454,443.742243,2016,172
